Isotope,Energy (keV),XS (mb),Info
108Pd,328.15,0.0035871364212031907,"(n,n')108Pd"
108Pd,699.82,0.0033916115483895457,"(n,n')108Pd"
108Pd,330.9,0.0018635407061723557,"(n,n')108Pd"
108Pd,514.82,0.0018598115444733497,"(n,n')108Pd"
108Pd,389.9,0.0013275697442487564,"(n,n')108Pd"
108Pd,475.04,0.0005417977779141146,"(n,n')108Pd"
109Ag,415.21,42.9225029962307,"(n,n')109Ag"
109Ag,311.38,33.77054259052256,"(n,n')109Ag"
109Ag,103.83,4.689812053316666,"(n,n')109Ag"
109Ag,496.89,1.1354442384,"(n,n')109Ag"
109Ag,600.72,0.2831517616,"(n,n')109Ag"
109Ag,88.03,0.00019987728837652638,"(n,n')109Ag"
109Ag,44.71,6.79265214683534e-05,"(n,n')109Ag"
109Ag,675.39,5.353916000000001e-05,"(n,n')109Ag"
109Ag,420.0,5.2339699999999996e-05,"(n,n')109Ag"
109Ag,890.0,5.1525360000000004e-05,"(n,n')109Ag"
109Ag,911.0,5.1486940000000006e-05,"(n,n')109Ag"
109Ag,870.0,4.5502860000000005e-05,"(n,n')109Ag"
109Ag,789.0,4.482742e-05,"(n,n')109Ag"
109Ag,647.26,3.2862646674e-05,"(n,n')109Ag"
109Ag,707.0,3.0849367892e-05,"(n,n')109Ag"
109Ag,781.44,2.9193172207538e-05,"(n,n')109Ag"
109Ag,701.91,2.539715256e-05,"(n,n')109Ag"
109Ag,447.55,2.3998920532e-05,"(n,n')109Ag"
109Ag,706.0,1.819924e-05,"(n,n')109Ag"
109Ag,551.38,1.7699943476000005e-05,"(n,n')109Ag"
109Ag,636.32,1.7031468026635e-05,"(n,n')109Ag"
109Ag,412.97,1.1264296294766197e-05,"(n,n')109Ag"
109Ag,602.55,1.075366017e-05,"(n,n')109Ag"
109Ag,390.53,7.684266672e-06,"(n,n')109Ag"
109Ag,309.14,7.616829535999998e-06,"(n,n')109Ag"
109Ag,558.09,6.3368156415320006e-06,"(n,n')109Ag"
109Ag,736.73,4.3780812983534e-06,"(n,n')109Ag"
109Ag,862.76,3.8139759919999996e-06,"(n,n')109Ag"
109Ag,395.62,3.4200921080000003e-06,"(n,n')109Ag"
109Ag,145.12,3.3495228727953998e-06,"(n,n')109Ag"
109Ag,454.26,1.4578697683996002e-06,"(n,n')109Ag"
109Ag,423.91,1.284153156e-06,"(n,n')109Ag"
109Ag,286.7,1.1927407679999997e-06,"(n,n')109Ag"
10B,718.35,32.91582524611423,"(n,n')10B"
10B,2868.75,7.204767740543031,"(n,n')10B"
10B,1021.8,6.63504151096036,"(n,n')10B"
10B,414.15,5.473427507509043,"(n,n')10B"
10B,3009.6,5.134048543420912,"(n,n')10B"
10B,1435.95,2.895824528178786,"(n,n')10B"
10B,2154.3,2.2381650384421445,"(n,n')10B"
10B,3587.1,2.043143543242789,"(n,n')10B"
10B,4445.55,1.7751038486677548,"(n,n')10B"
10B,1432.8,1.505473821488155,"(n,n')10B"
10B,1576.8,0.610220403810771,"(n,n')10B"
10B,5163.9,0.3488275001535463,"(n,n')10B"
10B,6025.0,0.11893513729743009,"(n,n')10B"
10B,3423.75,0.05555737935125719,"(n,n')10B"
10B,4055.65,0.009474921869349036,"(n,n')10B"
10B,4774.0,4.9671938119682034e-05,"(n,n')10B"
110Pd,373.81,192.96515173434986,"(n,n')110Pd"
110Pd,439.81,18.583096378151275,"(n,n')110Pd"
110Pd,1663.87,14.9531329144287,"(n,n')110Pd"
110Pd,546.84,6.685557470860393,"(n,n')110Pd"
110Pd,572.9,3.719558575331086,"(n,n')110Pd"
110Pd,813.62,3.7166278413438234,"(n,n')110Pd"
110Pd,1224.06,2.9906338751350456,"(n,n')110Pd"
110Pd,905.45,0.5779021256483812,"(n,n')110Pd"
